"rank","team","games","points_scored","total_yards","offensive_plays","yards_per_play","turnovers_lost","fumbles_lost","1st_downs","passes_completed","passes_attempted","passing_yards","passing_touchdowns","passing_interceptions","net_yards_per_pass_attempt","passing_1st_downs","rushing_attempts","rushing_yards","rushing_touchdowns","rushing_yards_per_attempt","rushing_1st_downs","penalties","penalty_yards","1st_down_penalties","percentage_scoring_drives","percentage_turnover_drives","expected_points"
"1","Kansas City Chiefs","6","179","2294","387","5.9","6","2","147","151","230","1655","17","4","6.9","96","146","639","4","4.4","34","29","286","17","48.4","8.1","78.51"
"2","Buffalo Bills","6","176","2645","401","6.6","10","6","146","162","246","1938","17","4","7.6","96","146","707","3","4.8","40","36","230","10","46","15.9","81.35"
"3","Philadelphia Eagles","6","161","2367","424","5.6","2","0","144","123","184","1431","6","2","7.2","70","225","936","13","4.2","61","31","233","13","41.5","3.1","63.46"
"4","Baltimore Ravens","6","158","2168","349","6.2","8","2","122","112","181","1234","13","6","6.4","59","157","934","4","5.9","54","33","236","9","43.8","12.5","42.86"
"5","Cleveland Browns","6","148","2310","413","5.6","8","3","139","124","206","1278","6","5","5.9","70","198","1032","10","5.2","59","39","312","10","42.9","11.1","44.96"
"6","Seattle Seahawks","6","146","2136","343","6.2","8","5","117","138","189","1390","9","3","6.8","67","140","746","5","5.3","37","50","435","13","44.1","10.2","39.29"
"7","Atlanta Falcons","6","146","1946","353","5.5","8","4","123","84","137","955","6","4","6.3","52","202","991","8","4.9","56","27","209","15","40","13.3","46.23"
"8","New York Jets","6","143","2058","398","5.2","9","4","117","135","232","1394","7","5","5.7","72","152","664","8","4.4","32","37","441","13","35.2","12.7","-1.52"
"9","Los Angeles Chargers","6","141","2249","416","5.4","5","2","127","170","257","1680","10","3","6.4","78","152","569","5","3.7","33","34","267","16","40.3","6","32"
"10","New England Patriots","6","141","2128","362","5.9","11","5","116","120","173","1340","6","6","7.3","63","178","788","8","4.4","43","38","299","10","36.9","16.9","20.74"
"11","New Orleans Saints","6","141","2294","389","5.9","13","7","122","129","204","1385","8","6","6.3","67","170","909","8","5.3","46","44","410","9","34.7","16.7","13.11"
"12","Detroit Lions","5","140","2059","333","6.2","6","2","107","112","187","1302","11","4","6.7","66","139","757","7","5.4","32","30","270","9","37.9","10.3","31.13"
"13","Minnesota Vikings","6","139","2039","378","5.4","6","1","132","153","230","1452","9","5","6","84","137","587","7","4.3","34","25","185","14","36.8","8.8","37.14"
"14","Jacksonville Jaguars","6","138","2147","382","5.6","9","5","130","133","203","1327","9","4","6.2","75","169","820","6","4.9","42","32","249","13","37.5","14.1","31.77"
"15","Cincinnati Bengals","6","138","2026","403","5","8","3","128","153","229","1492","12","5","5.9","81","152","534","3","3.5","32","29","216","15","39.4","10.6","26.77"
"16","Miami Dolphins","6","131","2197","362","6.1","9","2","122","143","221","1710","11","7","7.2","82","126","487","4","3.9","28","43","331","12","34.4","14.1","31.48"
"17","New York Giants","6","127","1904","377","5.1","6","3","122","108","162","926","5","3","5.1","51","196","978","8","5","56","40","307","15","39.7","7.9","27.34"
"18","Las Vegas Raiders","5","125","1803","312","5.8","5","1","105","114","185","1196","8","4","6.1","62","115","607","3","5.3","35","34","247","8","53.1","10.2","34.91"
"19","San Francisco 49ers","6","122","2041","356","5.7","9","5","111","109","179","1297","7","4","6.9","58","168","744","6","4.4","42","38","270","11","29.2","13.8","15.42"
"20","Tampa Bay Buccaneers","6","121","1992","388","5.1","6","5","123","166","247","1587","8","1","6.2","83","132","405","2","3.1","27","36","293","13","37.9","7.6","9.83"
"21","Arizona Cardinals","6","114","2076","432","4.8","5","1","127","166","256","1360","6","4","5","76","162","716","5","4.4","45","38","348","6","31.1","8.2","7.27"
"22","Dallas Cowboys","6","110","1805","358","5","5","1","100","104","185","1092","5","4","5.6","56","164","713","4","4.3","36","42","322","8","34.3","7.5","-6.83"
"23","Green Bay Packers","6","107","2089","389","5.4","8","5","122","146","218","1355","9","3","5.8","70","156","734","3","4.7","42","31","219","10","27.9","11.8","5.5"
"24","Los Angeles Rams","6","104","1859","375","5","13","5","115","161","227","1436","6","8","5.8","82","126","423","5","3.4","24","24","205","9","32.3","21","-15.68"
"25","Indianapolis Colts","6","103","2099","417","5","11","4","130","170","253","1597","8","7","5.8","91","143","502","2","3.5","30","38","319","9","31.8","16.7","-11.67"
"26","Carolina Panthers","6","103","1560","323","4.8","8","3","79","102","180","1018","4","5","5.1","42","124","542","3","4.4","29","31","313","8","28.8","10.6","-50.22"
"27","Washington Commanders","6","102","1922","398","4.8","8","2","115","144","232","1349","10","6","5.3","68","143","573","3","4","35","39","371","12","23","10.8","-22.63"
"28","Pittsburgh Steelers","6","97","1749","367","4.8","9","3","107","133","211","1229","4","6","5.5","70","143","520","4","3.6","30","37","258","7","28.4","10.4","-22.4"
"29","Tennessee Titans","5","96","1391","282","4.9","6","3","84","83","130","877","6","3","6.2","47","140","514","6","3.7","26","37","331","11","29.6","7.4","2.64"
"30","Chicago Bears","6","93","1762","335","5.3","10","5","93","63","115","737","4","5","5.3","35","197","1025","5","5.2","47","31","253","11","32.3","12.9","-8.07"
"31","Denver Broncos","6","91","1976","373","5.3","7","4","97","116","198","1315","5","3","6","58","155","661","2","4.3","29","54","486","10","30.4","8.7","-21.39"
"32","Houston Texans","5","86","1456","293","5","5","1","83","104","166","960","5","4","5.4","44","115","496","3","4.3","26","30","251","13","31","8.6","-14.95"
